StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label,TotBytes_,Dur_,TotBytes_Dur
2011/08/19 10:32:11.344718,19.99411,3,11977,34876,0,23858,27885,23,1,1,10,1709,780,0,0,0,0.0
2011/08/19 10:32:11.358744,19.970207000000002,3,11977,43930,0,23411,27885,15,1,1,6,408,198,0,0,0,0.0
2011/08/19 10:32:11.359026,19.970251,3,11977,43929,0,23411,27885,15,1,1,6,408,198,0,0,0,0.0
2011/08/19 10:32:11.404200,0.26291,3,11977,28638,0,27128,27885,22,1,1,6,1370,634,0,0,0,0.0
2011/08/19 10:32:11.590977,0.0,4,11938,39340,0,8005,20607,74,1,0,1,165,165,0,0,0,0.0
2011/08/19 10:32:12.803049,3594.1298829999996,3,11977,46379,2,16177,17426,83,1,1,3693,1028834,399521,0,3,1,16.0
2011/08/19 10:32:14.969053,16.261908,3,11977,32360,0,17737,27885,15,1,1,7,502,288,0,0,0,0.0
2011/08/19 10:32:14.969060,16.261910999999998,3,11977,32365,0,17737,27885,15,1,1,7,502,288,0,0,0,0.0
2011/08/19 10:32:15.169032,16.061949,3,11977,32362,0,17737,27885,15,1,1,7,502,288,0,0,0,0.0
2011/08/19 10:32:15.169042,16.061951,3,11977,32366,0,17737,27885,15,1,1,7,502,288,0,0,0,0.0
2011/08/19 10:32:15.369163,5.861332,3,11977,32348,0,17737,27885,15,1,1,5,350,210,0,0,0,0.0
2011/08/19 10:32:15.493251,268.576355,3,11953,20610,2,26737,21129,100,1,1,61,17233,4230,0,0,3,3.0
2011/08/19 10:32:15.569072,15.661879999999998,3,11977,32359,0,17737,27885,15,1,1,7,502,288,0,0,0,0.0
2011/08/19 10:32:15.569079,15.661906,3,11977,32364,0,17737,27885,15,1,1,7,502,288,0,0,0,0.0
2011/08/19 10:32:15.773032,15.457957,3,11977,32363,0,17737,27885,15,1,1,7,502,288,0,0,0,0.0
2011/08/19 10:32:17.212698,283.640411,3,11953,36842,2,15720,17426,85,1,1,17,1020,480,0,0,3,3.0
2011/08/19 10:32:17.212706,283.641083,3,11953,29092,2,22846,17426,85,1,1,17,1020,480,0,0,3,3.0
2011/08/19 10:32:17.212710,283.520599,3,11953,28537,2,15696,17426,100,1,1,18,1122,540,0,0,3,3.0
2011/08/19 10:32:17.759782,0.00033999999999999997,4,11981,23713,1,7859,21484,6,1,1,2,244,81,0,0,0,0.0
2011/08/19 10:32:17.760655,0.000338,4,11981,33386,1,7859,21484,6,1,1,2,280,81,0,0,0,0.0
2011/08/19 10:32:17.762860,0.24228200000000003,3,11981,40998,0,14539,27885,51,1,1,10,1219,549,0,0,0,0.0
2011/08/19 10:32:20.110139,0.00038199999999999996,4,11981,40220,1,7859,21484,6,1,1,2,400,74,0,0,0,0.0
2011/08/19 10:32:20.111052,0.000368,4,11981,26378,1,7859,21484,6,1,1,2,400,74,0,0,0,0.0
2011/08/19 10:32:20.112139,0.018127,3,11981,22783,0,16157,27885,39,1,1,6,412,272,0,0,0,0.0
2011/08/19 10:32:23.350036,15.666392000000002,3,11981,45274,2,26728,27885,12,1,1,6,396,198,0,0,0,0.0
2011/08/19 10:32:25.547428,1087.896851,3,11977,44243,2,22842,17426,86,1,1,63,4412,1991,0,0,4,4.0
2011/08/19 10:32:25.547442,3570.138672,3,11977,25251,2,22847,17426,79,1,1,184,11040,5520,0,0,1,1.0
2011/08/19 10:32:25.547447,3599.123047,3,11977,26195,2,15731,17426,83,1,1,412,51589,18070,0,0,1,1.0
2011/08/19 10:32:27.190045,3571.0566409999997,3,11981,29165,2,26737,21129,83,1,1,178,14094,7329,0,0,1,1.0
2011/08/19 10:32:30.110174,0.000424,4,11981,39645,1,7859,21484,6,1,1,2,400,74,0,0,0,0.0
2011/08/19 10:32:30.111155,0.00038500000000000003,4,11981,26040,1,7859,21484,6,1,1,2,400,74,0,0,0,0.0
2011/08/19 10:32:30.112269,0.018031000000000002,3,11981,22785,0,16157,27885,39,1,1,7,478,272,0,0,0,0.0
2011/08/19 10:32:31.229755,0.000643,3,11977,43430,2,14396,27885,12,1,1,3,198,132,0,0,0,0.0
2011/08/19 10:32:31.229807,0.000586,3,11977,43431,2,14396,27885,12,1,1,3,198,132,0,0,0,0.0
2011/08/19 10:32:31.229839,0.019448,3,11977,34413,2,26761,27885,12,1,1,3,198,132,0,0,0,0.0
2011/08/19 10:32:31.229842,0.019187,3,11977,34414,2,26761,27885,12,1,1,3,198,132,0,0,0,0.0
2011/08/19 10:32:31.320623,3579.803223,4,12142,31375,1,31597,3066,6,1,1,226,20340,10170,0,0,1,1.0
2011/08/19 10:32:32.650042,195.01705900000002,3,11981,25341,2,16160,17426,13,1,1,17,1220,528,0,0,3,3.0
2011/08/19 10:32:37.711128,195.00508100000002,3,11977,35552,2,16164,17426,13,1,1,17,1220,528,0,0,3,3.0
2011/08/19 10:32:38.730001,470.325897,3,11981,41091,2,26763,27885,20,1,1,48,13209,9249,0,0,3,3.0
2011/08/19 10:32:39.703577,3570.0124509999996,3,11981,35616,2,35418,21129,83,1,1,574,114427,44469,0,0,1,1.0
2011/08/19 10:32:40.110185,0.000452,4,11981,31453,1,7859,21484,6,1,1,2,400,74,0,0,0,0.0
